,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Player Link,Player ID
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,
540,541,James Ward-Prowse,eng ENG,MF,Southampton,27,1994,37.5,9,40,16,40.0,1.07,0.43,0.18,0.44,27.1,17,2,4,5.7,2.5,0.06,+3.3,+4.5,Matches,https://fbref.com/en/players/3515d404/James-Ward-Prowse,3515d404
541,542,Ollie Watkins,eng ENG,FW,Aston Villa,26,1995,34.7,15,84,45,53.6,2.42,1.30,0.17,0.31,12.6,0,1,2,16.5,14.9,0.18,-1.5,-0.9,Matches,https://fbref.com/en/players/aed3a70f/Ollie-Watkins,aed3a70f
542,543,Adam Webster,eng ENG,DF,Brighton,27,1995,22.1,0,18,2,11.1,0.82,0.09,0.00,0.00,11.2,0,0,0,1.8,1.8,0.10,-1.8,-1.8,Matches,https://fbref.com/en/players/c40b6180/Adam-Webster,c40b6180
543,544,Wout Weghorst,nl NED,"FW,MF",Manchester Utd,29,1992,8.9,0,14,5,35.7,1.58,0.56,0.00,0.00,12.5,0,0,0,2.0,2.0,0.14,-2.0,-2.0,Matches,https://fbref.com/en/players/c4e87b8b/Wout-Weghorst,c4e87b8b
544,545,Danny Welbeck,eng ENG,FW,Brighton,31,1990,20.6,6,62,22,35.5,3.01,1.07,0.10,0.27,14.1,1,0,0,9.4,9.4,0.15,-3.4,-3.4,Matches,https://fbref.com/en/players/ce5143da/Danny-Welbeck,ce5143da
545,546,Ben White,eng ENG,DF,Arsenal,24,1997,33.9,2,10,2,20.0,0.29,0.06,0.20,1.00,16.7,0,0,0,1.3,1.3,0.13,+0.7,+0.7,Matches,https://fbref.com/en/players/35e413f1/Ben-White,35e413f1
546,547,Harvey White,eng ENG,MF,Tottenham,20,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/4d90ce8c/Harvey-White,4d90ce8c
547,548,Joseph Whitworth,eng ENG,GK,Crystal Palace,18,2004,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/3f847d95/Joseph-Whitworth,3f847d95
548,549,Neco Williams,wls WAL,DF,Nott'ham Forest,21,2001,20.9,1,25,7,28.0,1.20,0.33,0.04,0.14,21.2,2,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches,https://fbref.com/en/players/dd323728/Neco-Williams,dd323728
549,550,Willian,br BRA,FW,Fulham,33,1988,23.6,5,41,17,41.5,1.74,0.72,0.12,0.29,18.8,3,0,0,3.4,3.4,0.08,+1.6,+1.6,Matches,https://fbref.com/en/players/8b9ebd03/Willian,8b9ebd03
550,551,Joe Willock,eng ENG,MF,Newcastle Utd,22,1999,28.4,3,58,16,27.6,2.04,0.56,0.05,0.19,16.9,0,0,0,7.0,7.0,0.12,-4.0,-4.0,Matches,https://fbref.com/en/players/a3b03921/Joe-Willock,a3b03921
551,552,Callum Wilson,eng ENG,FW,Newcastle Utd,30,1992,20.9,18,70,31,44.3,3.36,1.49,0.21,0.48,12.4,0,3,3,17.5,15.1,0.22,+0.5,-0.1,Matches,https://fbref.com/en/players/c596fcb0/Callum-Wilson,c596fcb0
552,553,Harry Wilson,wls WAL,FW,Fulham,25,1997,12.2,2,18,4,22.2,1.47,0.33,0.11,0.50,16.0,1,0,0,2.0,2.0,0.11,0.0,0.0,Matches,https://fbref.com/en/players/c6dc9ecd/Harry-Wilson,c6dc9ecd
553,554,Yoane Wissa,cd COD,FW,Brentford,25,1996,17.8,7,32,15,46.9,1.79,0.84,0.22,0.47,14.1,0,0,0,5.6,5.6,0.18,+1.4,+1.4,Matches,https://fbref.com/en/players/2500cef9/Yoane-Wissa,2500cef9
554,555,Maximilian Wöber,at AUT,DF,Leeds United,24,1998,14.1,0,9,2,22.2,0.64,0.14,0.00,0.00,13.3,1,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,https://fbref.com/en/players/4b803b3c/Maximilian-Wober,4b803b3c
555,556,Chris Wood,nz NZL,FW,Newcastle Utd,30,1991,5.0,2,8,3,37.5,1.61,0.61,0.13,0.33,14.7,0,1,1,1.8,1.0,0.13,+0.2,0.0,Matches,https://fbref.com/en/players/4e9a0555/Chris-Wood,4e9a0555
556,557,Chris Wood,nz NZL,FW,Nott'ham Forest,30,1991,4.1,1,3,1,33.3,0.73,0.24,0.33,1.00,8.2,0,0,0,1.0,1.0,0.32,0.0,0.0,Matches,https://fbref.com/en/players/4e9a0555/Chris-Wood,4e9a0555
557,558,Joe Worrall,eng ENG,DF,Nott'ham Forest,25,1997,24.7,1,7,2,28.6,0.28,0.08,0.14,0.50,12.2,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches,https://fbref.com/en/players/a5212312/Joe-Worrall,a5212312
558,559,Granit Xhaka,ch SUI,MF,Arsenal,29,1992,33.3,7,40,14,35.0,1.20,0.42,0.18,0.50,16.6,3,0,0,4.7,4.7,0.12,+2.3,+2.3,Matches,https://fbref.com/en/players/e61b8aee/Granit-Xhaka,e61b8aee
559,560,Ryan Yates,eng ENG,MF,Nott'ham Forest,24,1997,20.4,0,26,5,19.2,1.27,0.24,0.00,0.00,16.8,0,0,0,2.3,2.3,0.09,-2.3,-2.3,Matches,https://fbref.com/en/players/c1fe2a48/Ryan-Yates,c1fe2a48
560,561,Ashley Young,eng ENG,DF,Aston Villa,37,1985,22.6,1,15,3,20.0,0.66,0.13,0.07,0.33,25.1,0,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches,https://fbref.com/en/players/be927d03/Ashley-Young,be927d03
561,562,Illia Zabarnyi,ua UKR,DF,Bournemouth,19,2002,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/88968486/Illia-Zabarnyi,88968486
562,563,Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,29,1992,25.4,7,64,21,32.8,2.52,0.83,0.11,0.33,16.8,0,0,2,6.5,4.8,0.08,+0.5,+2.2,Matches,https://fbref.com/en/players/b2bc3b1f/Wilfried-Zaha,b2bc3b1f
563,564,Denis Zakaria,ch SUI,MF,Chelsea,25,1996,4.6,0,2,0,0.0,0.44,0.00,0.00,,16.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,https://fbref.com/en/players/384d58d9/Denis-Zakaria,384d58d9
564,565,Jordan Zemura,zw ZIM,DF,Bournemouth,22,1999,16.2,0,4,0,0.0,0.25,0.00,0.00,,12.9,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches,https://fbref.com/en/players/e8271ad9/Jordan-Zemura,e8271ad9
565,566,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25,1996,23.5,1,28,7,25.0,1.19,0.30,0.04,0.14,22.7,0,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches,https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko,51cf8561
566,567,Hakim Ziyech,ma MAR,"FW,MF",Chelsea,29,1993,7.3,0,16,3,18.8,2.18,0.41,0.00,0.00,22.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,https://fbref.com/en/players/6622454d/Hakim-Ziyech,6622454d
567,568,Kurt Zouma,fr FRA,DF,West Ham,27,1994,22.1,2,19,5,26.3,0.86,0.23,0.11,0.40,10.1,0,0,0,2.2,2.2,0.12,-0.2,-0.2,Matches,https://fbref.com/en/players/ce4246f5/Kurt-Zouma,ce4246f5
568,569,Martin Ødegaard,no NOR,MF,Arsenal,23,1998,34.7,15,93,31,33.3,2.68,0.89,0.16,0.48,19.2,9,0,0,10.0,10.0,0.11,+5.0,+5.0,Matches,https://fbref.com/en/players/79300479/Martin-Odegaard,79300479
